=======================
READING data.txt:
=======================

Time (ms), Visible (arb.), IR (arb.), UV Index, Temperature (deg C), Pressure (mbar), Altitude (m)
237,316,846,0,[error starting temperature measurement],
Time (ms), Visible (arb.), IR (arb.), UV Index, Temperature (deg C), Pressure (mbar), Altitude (m)
237,316,1064,0,9.84,979.20,100.00,
Time (ms), Visible (arb.), IR (arb.), UV Index, Temperature (deg C), Pressure (mbar), Altitude (m)
3667286,1814,15816,8,-9.90,227.20,100.00,
3697844,1831,15043,8,-10.19,220.78,100.00,
3728402,1214,10086,5,-10.48,215.03,100.00,
3758961,2405,21372,11,-10.76,209.63,100.00,
3789519,1327,9906,5,-11.00,203.72,100.00,
3820078,1608,13441,7,-11.17,198.42,100.00,
3850636,2239,19380,10,-11.47,192.97,100.00,
3881195,425,1627,0,-11.52,188.73,100.00,
3911753,458,2072,1,-11.67,184.59,100.00,
3942315,1704,13377,7,-11.83,180.19,100.00,
3972873,1232,10262,5,-11.99,175.81,100.00,
4003431,414,1314,0,-12.10,171.64,100.00,
4033989,2241,19794,10,-12.23,166.73,100.00,
4064548,497,2953,1,-12.35,162.92,100.00,
4095112,929,8531,3,-12.46,159.25,100.00,
4125670,2076,17865,9,-12.67,155.44,100.00,
4156228,2183,19310,10,-12.71,151.79,100.00,
4186786,2114,18037,9,-12.74,147.96,100.00,
4217346,1949,17280,9,-12.83,144.60,100.00,
4247904,2235,19757,10,-12.94,140.84,100.00,
4278462,1758,14099,8,-13.00,137.75,100.00,
4309023,2228,19699,10,-13.10,134.73,100.00,
4339581,2133,18979,10,-13.19,131.82,100.00,
4370141,2265,20151,10,-13.22,128.96,100.00,
4400699,2097,18472,9,-13.30,126.28,100.00,
4431257,521,2384,1,-13.37,121.85,100.00,
4461815,847,5708,3,-13.49,118.29,100.00,
4492374,704,4928,2,-13.64,114.91,100.00,
4522932,2181,19653,10,-13.83,112.07,100.00,
4553490,2125,18355,10,-13.87,109.23,100.00,
4584049,1555,12513,6,-13.98,106.58,100.00,
4614607,1465,11295,6,-14.12,104.06,100.00,
4645166,1611,12600,7,-14.26,101.63,100.00,
4675727,960,6437,3,-14.42,99.17,100.00,
4706285,425,1448,0,-14.59,96.46,100.00,
4736843,852,7277,3,-14.73,94.17,100.00,
4767401,1770,15664,8,-14.87,92.13,100.00,
4797960,1851,15653,8,-15.06,89.83,100.00,
4828518,546,3623,1,-15.10,87.70,100.00,
4859077,1338,12332,5,-15.16,85.51,100.00,
4889635,2117,19190,9,-15.24,83.46,100.00,
4920199,495,2658,1,-15.31,81.43,100.00,
4950757,498,2651,1,-15.35,79.38,100.00,
4981315,2252,19362,10,-15.34,77.23,100.00,
5011873,2152,18565,10,-15.40,75.37,100.00(j`hdhfe,2174,18587,10,-15.48,73.55,100.00,
5072993,1955,16176,9,-15.52,71.72,100.00,
5103552,2061,17160,9,-15.58,70.03,100.00,
5134110,2241,19235,10,-15.61,68.17,100.00,
5164669,1470,11355,6,-15.67,66.48,100.00,
5195228,2083,18446,9,-15.75,64.76,100.00,
5225786,640,4308,2,-15.80,63.00,100.00,
5256344,2293,20719,10,-15.86,61.38,100.00,
5286902,392,1226,0,-15.89,59.59,100.00,
5317460,1066,9974,4,-15.94,57.81,100.00,
5348020,1398,11498,6,-16.04,56.33,100.00,
5378578,1742,15240,7,-16.11,55.01,100.00,
5409136,1462,1146  0,6,-16.18,53.52,100.00,
5439697,763,5017,2,-16.22,52.23,100.00,
5470256,1063,8525,4,-16.26,50.90,100.00,
5500814,1397,12857,6,-16.28,49.49,100.00,
5531372,769,6076,2,-16.31,48.17,100.00,
5561930,2085,17585,9,-16.31,46.95,100.00,
5592488,1654,14272,7,-16.31,45.57,100.00,
5623047,793,5844,2,-16.28,44.60,100.00,
5653605,1790,15978,8,-16.24,43.48,100.00,
5684163,1759,13787,8,-16.21,42.41,100.00,
5714721,1448,10689,6,-16.17,41.34,100.00,
5745283,1715,13380,7,-16.10,40.29,100.00,
5775841,767,5942,2,-16.04,39.50, 100.00,
5806402,1534,12879,6,-15.93,38.47,100.00,
5836960,1251,8953,*XZbj\pdXfn\jhXb``\``XjplnjbpXddbbXbrhpbXb`XZbj\nhXfl\ljXb``\``Xjprp`nnXdf``XbrlbjXb`XZbj\lhXfj\lbXb``\``XjrdplfjXbpfnXbhplpXpXZbj\jdXfh\pbXb``\``XjrjrbrfXddfrXbrlfbXb`XZbj\hlXff\pjXb``\``XjrprnjbXblfrXbdrnfXnXZbj\fhXff\`lXb``\``Xl`d`fb`XbrrnXbjnfjXrXZbj\dnXfd\brXb``\``Xl`j`plrXbhjrXb`rhjXlXZbj\bfXfb\flXb``\``Xl`pbhdnXhdlXdfjdX`XZbj\`lXf`\jlXb``\``XlbbbrpjXbrddXbjh`dXpXZbh\rhXdr\nrXb``\``XlbhdjhfXndjXjlb`XdXZbh\phXdp\rrXb``\``Xlc  73102,887,7680,3,-14.73,28.33,100.00,
6203665,2081,17846,9,-1(.62,27.56,100.00,
6234223,1072,7566,4,-14.47,26.95,100.00,
6264781,1790,13938,8,-14.38,26.26,100.00,
6295340,1260,8925,5,-14.30,25.54,100.00,
6325898,1986,15971,9,-14.20,24.96,100.00,
6356457,1596,14334,7,-14.08,24.29,100.00,
6387015,1880,15090,8,-13.92,23.73,100.00,
6417573,2024,16604,9,-13.80,23.09,100.00,
6448132,1337,11093,5,-13.70,22.43,100.00,
6478690,1561,13184,6,-13.57,21.95,100.00,
6509248,1813,15429,8,-13.48,21.38,100.00,
6539807,1528,1   1.66,15.68,100.00,
6937078,1581,11728,7,-11.51,15.35,100.00,
6967636,1576,11600,7,-11.37,14.95,100.00,
6998195,1404,10747,6,-11dfXbh\lnXb``\``Xn`dpnjfXbnnpXbfpldXpXZbb\`pXbh\l`Xb``\``Xn`jrfbdXfffXphrX`XZb`\rlXbl\rbXb``\``Xn``       ذ      ذ     Ȱ   ܰ       (               ԰ذ       ȸ а       (      ܰ        Ȱ     ĸ    Ը ذ       (      ԰  ذ   аȰ  ĸ Ȱ   İ       (      ̰          䰴 ĸ İ ̸         (      İ       Ȱа  ĸ              (           ԰    ԰䰴 ȸ   ȸ ̰  0.00,
7303781,432,1610,0,-12.85,47.74,100.00,
7334339,1015,8450,4,-13.34,53.04,100.00,
============================
Done reading data.txt:
============================
